name,id,duration,durationApr,durationTokens,nonDurationApr,nonDurationTokens,toNonDurationDiff,isDeficient
Supply solvBTC on Do,0xb1d5ccc4388fe639f8d949061bc2de95ecb1efb11c5ceb93bdb71caab58c8aa3,90,1.689%,30572.089656131484,1.742%,31240.986736830124,668.8970806986399,true
Provide sUSDa-USDa L,0xd70673b98af7096f575717d70fbf2fa935dd719926b55c0e011480678cdac563,90,2.312%,28533.39242659474,2.384%,28787.74368067786,254.3512540831216,true
Supply uniBTC into G,0x72679855f582a6d908bf39d40cb5a299b6a98a82bf1bfd9055f1853fc5160f54,90,2.312%,27276.018108162156,2.384%,27937.553217829216,661.5351096670602,true
Provide SolvBTC-Solv,0x378d4d32d89450978d01cfdf1ff1907d4419aa186c48abb94e612b76d75f3fae,90,2.312%,27166.064166267486,2.384%,27874.39937744723,708.335211179743,true
Provide pumpBTC.bera,0x2fa37184f43783f5d6b23548c4a7a21bb86cd2f314bba9d5bb7d2415d61d11c8,90,2.312%,26992.155280486957,2.384%,27743.990401398394,751.8351209114371,true
Supply stBTC on Dolo,0xc6887dddd833a3d585c7941cd31b0f8ff3ec5903d49cd5e7ac450b46532d3e79,30,5.067%,25413.939052535858,5.225%,25709.920417802878,295.98136526702,true
Supply sUSDa on Dolo,0x2dd74f8f8a8d7f27b2a82a6edce57b201f9b4a3c4780934caf99363115e48be6,30,5.067%,21969.126263905488,5.225%,21795.04018723293,0,false
Provide NECT-HONEY L,0x62bb6fb784e059f338340a9724b35ef2ef8fde5e65613e9fcaacd097d81dc67e,90,4.544%,20359.03153478747,4.685%,21000.74819065532,641.7166558678473,true
Supply USDT on Dolom,0x9c7bd5b59ebcb9a9e6787b9b174a98a69e27fa5a4fe98270b461a1b9b1b1aa3e,90,9.123%,17336.458919846817,9.513%,18088.586896526813,752.1279766799962,true
Restake waBTC on Sat,0x2dcd8ec59fe12b4cb802f5a26445f9684635c52139560f169a7c4d67da186c18,90,1.689%,15203.558463699243,1.742%,15420.809661736037,217.25119803679445,true
Provide uniBTC-ylBTC,0x21c6a0baa6f41b060937be5a4f1be096b63f426c50f763b4dabd1af46803fa2f,90,2.312%,13518.40198372516,2.384%,13820.911312361077,302.509328635917,true
BurrBear USDC Stable,0x71cee3cf3329e9a2803d578cdd6c823d7a16aa39adea3a7053395299bd258800,90,8.211%,12525.902224979272,8.562%,13065.705557521449,539.8033325421766,true
Beraborrow SBTC Boyc,0xe92ebafbee7aa7a636ff62e04aa2ab9353f60ef72dcdcfdfcf48b67a7ad8ffc7,90,2.312%,12300.470336058303,2.384%,12743.810370490182,443.34003443187976,true
Infrared x Kodiak MI,0x9a117f13c7d5d2b4b18e444f72e6e77c010a1fd90cf21135be75669d66ad9428,90,4.544%,10993.662799368527,4.685%,11327.612272390512,333.9494730219849,true
Provide WBTC-SBTC Li,0x289dc2a22ebb4ef7404de9293b6718d9f81f0843e1af4cf9a9c51d2e757348d6,90,4.544%,10906.402170251291,4.685%,11178.429146037028,272.0269757857368,true
Kodiak x Beraborrow ,0xcdd60ed30d20f9edc3fac624bb623db32103658b6da678949ef53df16139b488,90,25.545%,8070.620385294773,26.637%,8358.784676050798,288.16429075602537,true
Provide WBTC-pumpBTC,0xa74b61544834483b093531cff533d01788a5dea12d8a83902646111025303bfb,90,4.544%,7325.683589203936,4.685%,7515.024864844976,189.34127564103983,true
Infrared x Kodiak US,0xf8f745f188ddb10c16724faee95583521191c3c69e15490fa53c1136b73c17d7,90,8.211%,7236.4111459612095,8.562%,7550.460404774698,314.04925881348845,true
Provide rsETH-beraET,0x25f7a422282a1f26d9d96b5d1c43fa5c6f8c355b0ed7a4755ac8d04a504817f5,90,2.312%,6736.984884930027,2.384%,6210.760132061385,0,false
Lend wETH on Dahlia ,0x4dd921e829db80e73c56d888eeaf46a7934a3c4a2f7f78231dd4502f8eaa2558,90,9.123%,6648.300214013621,9.513%,6275.843938573881,0,false
Suppy uniBTC on Dolo,0xd10bdc88272e0958baa62a4ae2bfce1d8feed639a93e03c0aa5cec7adfbdf2c3,30,5.067%,6232.346291065349,5.225%,6383.501634590701,151.15534352535178,true
Beraborrow ylstETH B,0xc182b0267a6ca015c2d2a144ca19e1f6b36479675754914002e0613320ed8d9a,90,2.312%,6083.817132035372,2.384%,5666.631452116575,0,false
Provide WBTC-SolvBTC,0x290aad1fabd8d2557d28a3854a2433ddc11a35f0d12936dd99102067ac515d07,90,4.544%,5895.48111849698,4.685%,6002.789374829858,107.30825633287805,true
Provide WBTC-waBTC L,0x49104b3cadbb31470e5b949c6892a33954ee9ce35041df4a04a88eb694b645c0,90,4.544%,5495.348225015323,4.685%,5575.383349169062,80.03512415373916,true
Beraborrow STONE Boy,0x88ee202388086447b8dc8403c5aa2cfbcdb52e749fd16af5c6a3c7bb614b17c9,90,2.312%,4194.000564208447,2.384%,4010.5780991777033,0,false
D2 Finance dgnBerala,0x0964848864e96952ee2454ce58fc93b867f9b2d9a6b44216eec8b08726813d1b,30,27.37%,3878.94576149475,28.54%,4046.1087978331307,167.1630363383806,true
Lend USDC on Dahlia ,0x7e804adb4c426b81fbe1f005f92d8dee99f98b0502c3946ac5ad436b453c6435,90,9.123%,3677.5156027325106,9.513%,3835.998013194895,158.48241046238445,true
Supply rswETH on Dol,0xc90525132d909f992363102ebd6298d95b1f312acdb9421fd1f7ac0c0dd78d3f,30,5.067%,3465.886117216682,5.225%,3366.802956258416,0,false
Provide pumpBTC.bera,0xaa636d73f39ea0de0e04ed9270eac5d943707e7f8fb9c3480c0d80eb015ccfc8,90,2.312%,3314.676379187413,2.384%,3415.8502600357224,101.17388084830918,true
Provide USDa-HONEY L,0xfa4917a871f9cf06d3d00be6678993888b3aac41c3da21edf32c3c9cf3978d70,90,4.544%,3231.817585967473,4.685%,3329.452392014518,97.634806047045,true
Kodiak x Beraborrow ,0xf8663b3c0f78b4efae0422b163e86e79afa1ce90778885d93d53c9d4f6d5c3d8,90,25.545%,3201.5306859954394,26.637%,3197.9677876450114,0,false
Supply USDa on Dolom,0x86a5077c6a9190cde78ec75b8888c46ed0a3d1289054127a955a2af544633cf3,30,5.067%,2903.059314555161,5.225%,2991.2504901286343,88.19117557347317,true
Supply rsETH into Go,0xab32e1695b84b148140cb78c044d247e307b26cb043dc5538657f3a5634dee6e,90,2.312%,2702.9615189436045,2.384%,2460.2407260019672,0,false
Supply rsETH on Dolo,0x415f935bbb9bf1bdc1f49f2ca763d5b2406efbf9cc949836880dd5bbd054db95,90,1.689%,2620.771212179178,1.742%,2385.4309521419727,0,false
Provide WBTC-uniBTC ,0x568f3bb6ba4c6afe37899fda35bc315ae8167274685ea295e03cf20d471afd8b,90,4.544%,2529.203773658503,4.685%,2579.3184487402896,50.11467508178657,true
Supply SBTC on Dolom,0x42a09eccabf1080c40a24522e9e8adbee5a0ad907188c9b6e50ba26ba332eac3,90,1.689%,2452.0467727533555,1.742%,2540.4247348117897,88.37796205843415,true
Restake SBTC on SatL,0x7ccce28638cbb503d17e8d9290a97f18731199655ccde282da7b464f21361b79,90,1.689%,2443.440500858235,1.742%,2531.508271129357,88.0677702711223,true
Supply STONE on Dolo,0xb27f671bc0dd8773a25136253acd72150dd59e50e44dc8439e9dc5c84c2b19f6,90,1.689%,2434.322825703844,1.742%,2327.858964639611,0,false
Beraborrow RSETH Boy,0xfef8ead03d79cf7cbe6f73c8d1136f8c84f6cf6ed9bc208719e7fcee807cb336,90,2.312%,2371.4873184675284,2.384%,2158.53227698605,0,false
D2 Finance Kodiak++,0x027987432679079fbbc990691d14dabe7f7780f51df6a1a53e7bd875b1f9581a,90,9.123%,1441.6360436903096,9.513%,1503.7633002120037,62.12725652169411,true
Supply beraETH on Do,0x258ac521d801d5112a484ad1b82e6fd2efc24aba29e5cd3d56db83f4a173dc90,30,5.067%,1001.8359737091425,5.225%,935.2160212028115,0,false
Beraborrow WETH Boyc,0xb9f307d83c78d09a134aac7713821aab8e1da2404b895db66f0975135dd5006e,90,2.312%,887.1347813542101,2.384%,828.1422131579216,0,false
Supply USDe on Dolom,0xa588ad19850cf2a111c3c727033da8e557abc94de70fce2d2b2f2f78140f15e5,90,1.689%,781.4427906687253,1.742%,807.0759307061318,25.63314003740652,true
Restake uniBTC on Sa,0xdd3f0e11d59726f2e63fc1b180abc94034dd3e0f4018b51371b73348d82b3769,90,1.689%,404.1657674737645,1.742%,413.96814567461394,9.802378200849432,true
Beraborrow beraETH B,0xd77d3e3e075394a6c94a8c83dab114bb7266b96c5234e4a98476f41339029c30,90,2.312%,351.93573535235487,2.384%,328.5327606242169,0,false
Provide beraETH-RSWE,0x3ef317447bd10825f0a053565f8474a460cfb22cda414ea30b671e304f0691b6,90,2.312%,282.6186989730351,2.384%,269.2367715346526,0,false
Supply pumpBTC on Do,0xff917303af9337534eece4b88948d609980b66ca0b41875da782aec4858cade5,30,5.067%,252.37571550471083,5.225%,261.4719740496897,9.096258544978895,true
